album_title,artist,labels,genres,critic_score,user_score,album_length,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_date_clean,year_x,album,year_y,main_theme,subthemes
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",3,Touch the Sky,3:56,Lupe Fiasco,97,3763,2005-08-30,2005,Late Registration,2005.0,ambition,"success, risk"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",4,Gold Digger,3:27,Jamie Foxx,91,3651,2005-08-30,2005,Late Registration,2005.0,relationships,"money, conflict"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",5,Skit #1,0:33,,78,1442,2005-08-30,2005,Late Registration,2005.0,satire,fraternity
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",6,Drive Slow,4:32,"Paul Wall, GLC",90,3513,2005-08-30,2005,Late Registration,2005.0,wisdom,life lessons
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",7,My Way Home,1:43,Common,86,3209,2005-08-30,2005,Late Registration,2005.0,identity,race
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",8,Crack Music,4:30,The Game,86,3434,2005-08-30,2005,Late Registration,2005.0,politics,systemic oppression
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",9,Roses,4:05,,95,3585,2005-08-30,2005,Late Registration,2005.0,family,"illness, grief"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",10,Bring Me Down,3:18,Brandy,88,3360,2005-08-30,2005,Late Registration,2005.0,ego,haters
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",11,Addiction,4:27,,87,3399,2005-08-30,2005,Late Registration,2005.0,introspection,temptation
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",12,Skit #2,0:31,,78,1414,2005-08-30,2005,Late Registration,2005.0,satire,capitalism
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",13,Diamonds from Sierra Leone (Remix),3:53,JAY-Z,96,3568,2005-08-30,2005,,,,
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",14,We Major,7:28,"Nas, Really Doe",96,3674,2005-08-30,2005,Late Registration,2005.0,celebration,success
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",15,Skit #3,0:24,,76,1406,2005-08-30,2005,Late Registration,2005.0,satire,poverty
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",16,Hey Mama,5:05,,95,3576,2005-08-30,2005,Late Registration,2005.0,family,"gratitude, motherhood"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",17,Celebration,3:18,,87,3345,2005-08-30,2005,Late Registration,2005.0,lifestyle,"party, fame"
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",18,Skit #4,1:18,,82,1520,2005-08-30,2005,Late Registration,2005.0,satire,financial pressure
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",19,Gone,5:33,"Consequence, Cam'ron",91,3373,2005-08-30,2005,Late Registration,2005.0,career,transition
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",20,Diamonds from Sierra Leone,3:58,,93,2991,2005-08-30,2005,Late Registration,2005.0,politics,global exploitation
Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",21,Late,3:50,,91,3250,2005-08-30,2005,Late Registration,2005.0,introspection,self-worth
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,1,Good Morning,3:15,,92,4649,2007-09-11,2007,Graduation,2007.0,motivation,self-growth
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,2,Champion,2:47,,91,4588,2007-09-11,2007,Graduation,2007.0,self-worth,confidence
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,3,Stronger,5:11,,92,4674,2007-09-11,2007,Graduation,2007.0,ambition,resilience
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,4,I Wonder,4:03,,95,4712,2007-09-11,2007,Graduation,2007.0,introspection,destiny
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,5,Good Life,3:27,T-Pain,89,4518,2007-09-11,2007,Graduation,2007.0,celebration,fame
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,6,Can't Tell Me Nothing,4:31,,92,4603,2007-09-11,2007,Graduation,2007.0,rebellion,ego
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,7,Barry Bonds,3:24,Lil Wayne,74,4434,2007-09-11,2007,Graduation,2007.0,ego,competition
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,8,Drunk and Hot Girls,5:13,Mos Def,61,4503,2007-09-11,2007,Graduation,2007.0,emptiness,nightlife
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,9,Flashing Lights,3:57,Dwele,95,4701,2007-09-11,2007,Graduation,2007.0,relationships,"fame, distance"
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,10,Everything I Am,3:47,DJ Premier,91,4519,2007-09-11,2007,Graduation,2007.0,introspection,self-acceptance
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,11,The Glory,3:32,,85,4372,2007-09-11,2007,Graduation,2007.0,ambition,legacy
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,12,Homecoming,3:23,Chris Martin,93,4587,2007-09-11,2007,Graduation,2007.0,nostalgia,"identity, roots"
Graduation,Kanye West,Roc-A-Fella,"Pop Rap, Electropop, Chipmunk Soul, Electro Hop",76,86,51 minutes,13,Big Brother,4:47,,87,4372,2007-09-11,2007,Graduation,2007.0,relationships,"mentorship, conflict"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,1,Say You Will,6:17,,85,2854,2008-11-24,2008,808s & Heartbreak,2008.0,heartbreak,"longing, emptiness"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,2,Welcome to Heartbreak,4:22,Kid Cudi,88,2863,2008-11-24,2008,808s & Heartbreak,2008.0,emotion,"envy, regret"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,3,Heartless,3:31,,93,2983,2008-11-24,2008,808s & Heartbreak,2008.0,heartbreak,betrayal
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,4,Amazing,3:58,Young Jeezy,83,2809,2008-11-24,2008,808s & Heartbreak,2008.0,ego,resilience
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,5,Love Lockdown,4:30,,88,2837,2008-11-24,2008,808s & Heartbreak,2008.0,emotion,isolation
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,6,Paranoid,4:37,Mr Hudson,91,2877,2008-11-24,2008,808s & Heartbreak,2008.0,emotion,"fear, anxiety"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,7,RoboCop,4:34,,81,2785,2008-11-24,2008,808s & Heartbreak,2008.0,relationships,"control, conflict"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,8,Street Lights,3:09,,91,2857,2008-11-24,2008,808s & Heartbreak,2008.0,introspection,"life passing, melancholy"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,9,Bad News,3:58,,78,2706,2008-11-24,2008,808s & Heartbreak,2008.0,heartbreak,"shock, fear"
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,10,See You in My Nightmares,4:18,Lil Wayne,73,2728,2008-11-24,2008,808s & Heartbreak,2008.0,anger,rejection
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,11,Coldest Winter,2:44,,86,2779,2008-11-24,2008,808s & Heartbreak,2008.0,grief,loss
808s & Heartbreak,Kanye West,"Def Jam, Roc-A-Fella","Synthpop, Electropop, Art Pop, Pop Rap, Alternative R&B",74,80,52 minutes,12,Pinocchio Story (Freestyle Live From Singapore),6:01,,74,2431,2008-11-24,2008,,,,
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",1,Dark Fantasy,4:40,,94,6230,2010-11-22,2010,MBDTF,2010.0,ego,"fame, surrealism"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",2,Gorgeous,5:57,"Kid Cudi, Raekwon",91,6117,2010-11-22,2010,MBDTF,2010.0,social,"race, frustration"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",3,POWER,4:52,,96,6302,2010-11-22,2010,MBDTF,2010.0,ego,self-destruction
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",4,All of the Lights (Interlude),1:02,,87,4226,2010-11-22,2010,,,,
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",5,All of the Lights,4:59,,93,6225,2010-11-22,2010,MBDTF,2010.0,social,"abuse, chaos"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",6,Monster,6:18,"JAY-Z, Rick Ross, Nicki Minaj, Bon Iver",89,6091,2010-11-22,2010,MBDTF,2010.0,ego,"fame, duality"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",7,So Appalled,6:38,"JAY-Z, Pusha T, Prince Cy Hi, Swizz Beatz, The RZA",88,5964,2010-11-22,2010,MBDTF,2010.0,industry,"fame, decadence"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",8,Devil in a New Dress,5:52,Rick Ross,96,6309,2010-11-22,2010,MBDTF,2010.0,romance,"temptation, betrayal"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",9,Runaway,9:08,Pusha T,97,6440,2010-11-22,2010,MBDTF,2010.0,introspection,"regret, toxicity"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",10,Hell of a Life,5:27,,86,5957,2010-11-22,2010,,,,
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",11,Blame Game,7:49,John Legend,79,5925,2010-11-22,2010,MBDTF,2010.0,relationships,"fights, breakup"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",12,Lost in the World,4:16,Bon Iver,89,5923,2010-11-22,2010,MBDTF,2010.0,identity,"love, confusion"
My Beautiful Dark Twisted Fantasy,Kanye West,"Def Jam, Roc-A-Fella","Pop Rap, Hip Hop, Art Pop, Experimental Hip Hop",91,89,"1 hour, 8 minutes",13,Who Will Survive in America,1:38,,80,4123,2010-11-22,2010,,,,
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,1,No Church in the Wild,4:32,"Frank Ocean, The-Dream",91,1738,2011-08-08,2011,Watch the Throne,2011.0,philosophy,"morality, rebellion"
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,2,Lift Off,4:26,Beyoncé,75,1581,2011-08-08,2011,Watch the Throne,2011.0,ambition,success
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,3,Niggas in Paris,3:39,,92,1781,2011-08-08,2011,Watch the Throne,2011.0,celebration,"luxury, ego"
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,4,Otis,2:58,Otis Redding,90,1729,2011-08-08,2011,Watch the Throne,2011.0,ego,rap excellence
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,5,Gotta Have It,2:20,,77,1532,2011-08-08,2011,Watch the Throne,2011.0,ambition,success
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,6,New Day,4:32,,77,1524,2011-08-08,2011,Watch the Throne,2011.0,family,"fatherhood, legacy"
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,7,That's My Bitch,3:22,,74,1524,2011-08-08,2011,Watch the Throne,2011.0,race,beauty standards
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,8,Welcome to the Jungle,2:54,,65,1497,2011-08-08,2011,Watch the Throne,2011.0,trauma,"stress, chaos"
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,9,Who Gon Stop Me,4:16,,63,1509,2011-08-08,2011,Watch the Throne,2011.0,ego,fearlessness
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,10,Murder to Excellence,5:00,,80,1518,2011-08-08,2011,Watch the Throne,2011.0,social,"violence, race"
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,11,Made in America,4:52,Frank Ocean,73,1502,2011-08-08,2011,Watch the Throne,2011.0,religion,gratitude
Watch the Throne,JAY-Z,Roc-A-Fella,"Pop Rap, Chipmunk Soul, Hardcore Hip Hop, Alternative R&B",74,71,46 minutes,12,Why I Love You,3:19,Mr Hudson,78,1521,2011-08-08,2011,Watch the Throne,2011.0,relationships,betrayal
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,1,On Sight,2:36,,90,4677,2013-06-18,2013,Yeezus,2013.0,chaos,"shock, industrial"
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,2,Black Skinhead,3:08,,93,4619,2013-06-18,2013,Yeezus,2013.0,social,"race, rage"
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,3,I Am a God,3:51,,83,4462,2013-06-18,2013,Yeezus,2013.0,ego,"divinity, mania"
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,4,New Slaves,4:16,,93,4574,2013-06-18,2013,Yeezus,2013.0,politics,"consumerism, racism"
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,5,Hold My Liquor,5:26,,91,4512,2013-06-18,2013,Yeezus,2013.0,emotion,self-destruction
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,6,I'm in It,3:54,,80,4358,2013-06-18,2013,,,,
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,7,Blood on the Leaves,6:00,,89,4503,2013-06-18,2013,Yeezus,2013.0,social,"race, tragedy"
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,8,Guilt Trip,4:03,,84,4362,2013-06-18,2013,Yeezus,2013.0,emotion,"regret, heartbreak"
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,9,Send It Up,2:58,,76,4299,2013-06-18,2013,Yeezus,2013.0,nightlife,chaos
Yeezus,Kanye West,Def Jam,"Industrial Hip Hop, Experimental Hip Hop, Electro-Industrial, Hardcore Hip Hop",83,84,40 minutes,10,Bound 2,3:49,,94,4647,2013-06-18,2013,Yeezus,2013.0,love,"nostalgia, family"
The Life of Pablo,Kanye West,"G.O.O.D., Def Jam","Pop Rap, Experimental Hip Hop, Trap, Contemporary R&B, Christian Hip Hop",77,84,"1 hour, 5 minutes",1,Ultralight Beam,5:20,,93,3722,2016-02-14,2016,The Life of Pablo,2016.0,religion,"salvation, hope"
